Cam,Date,Ocp
cam1,202009011355,27
cam2,202009011355,119
cam3,202009011355,6
cam4,202009011355,0
cam5,202009011355,39
cam6,202009011355,4
cam7,202009011355,600
cam8,202009011355,50
cam9,202009011355,434
cam10,202009011355,20
cam11,202009011355,18
cam12,202009011355,198
cam13,202009011355,816
cam14,202009011355,0
cam15,202009011355,14
cam16,202009011450,785
cam17,202009011355,25
cam18,202009011355,315
cam19,202009011355,735
cam20,202009011355,624
cam21,202009011355,18
cam22,202009011355,604
cam23,202009011355,18
cam24,202009011355,646
cam25,202009011355,143
cam26,202009011355,26
cam27,202009011355,23
cam28,202009011355,335
cam29,202009011355,149
cam30,202009011355,0
cam31,202009011355,82
cam32,202009011355,417
cam33,202009011355,997
cam34,202009011355,14
cam35,202009011355,720
cam36,202009011355,71
cam37,202009011355,22
cam38,202009011355,5
cam39,202009011355,7
cam40,202009011355,649
cam41,202009011355,12
cam42,202009011355,5
cam43,202009011355,760
cam44,202009011355,28
cam45,202009011355,504
cam46,202009011355,20
cam47,202009011355,824
cam48,202009011355,59
cam49,202009011355,738
cam50,202009011355,25
cam51,202009011355,146
cam52,202009011355,15
cam53,202009011355,244
cam54,202009011355,9
cam55,202009011355,346
cam56,202009011355,257
cam57,202009011355,106
cam58,202009011355,743
cam59,202009011355,949
cam60,202009011355,200
cam61,202009011355,391
cam62,202009011355,251
cam64,202009011355,227
